"","tSNE_1","tSNE_2"
"BC05_85",1.40759581626535,17.0313024098293
"BC05_86",0.95928130329147,14.5600696341074
"BC05_87",-2.3743488732958,16.5579423334865
"BC05_88",-3.25383351266708,14.7380523850382
"BC05_90",1.02582639885132,18.5879549153304
"BC05_91",1.05068067420156,17.8823807369708
"BC05_92",-0.252537548999677,16.7432525808724
"BC05_93",3.22098365347425,16.7984281725311
"BC05_94",-0.982119667819392,14.9197531250115
"BC05_95",-2.62316130447881,16.108988143836
"BC05_96",0.616944572478293,19.0465101849085
"BC06_04",7.94823503330392,-11.9682167014873
"BC06_10",4.73521694696054,4.71370033928492
"BC06_23",5.19357050508634,5.13409938089645
"BC06_25",1.89085835759972,-13.4881219809074
"BC06_27",4.01162906498685,4.86889597084668
"BC06_28",5.01402188035361,4.92058840623637
"BC06_29",8.23477007372107,-11.8523589199325
"BC06_32",4.17156381416612,4.92627454017648
"BC06_39",4.58909523677017,4.75347069152002
"BC06_40",0.83580914575947,-13.2835881735996
"BC06_43",-13.7439578258202,-5.05923926068833
"BC06_60",5.04962308239408,5.00545463435617
"BC06_74",4.83969471877318,4.87598414876911
"BC07_01",-4.33931426312458,-3.17447102670118
"BC07_03",6.49569175326188,-11.8776794489622
"BC07_04",8.79977675945107,-9.78508896691853
"BC07_06",-2.29473981593285,-4.89237541974489
"BC07_07",-1.11627560449322,-2.36734045224004
"BC07_08",-1.94295599001461,-5.64354559354435
"BC07_09",8.21571878256,-8.85394137112147
"BC07_12",-2.53265356602038,-4.85520252772352
"BC07_16",1.78927822937597,-8.91419410080214
"BC07_18",-3.29836697574192,-4.61352390099474
"BC07_20",-2.95448293055505,-3.46010575178367
"BC07_23",-5.96757830264437,-4.47646254015657
"BC07_24",-2.31635848302942,-3.78985694842852
"BC07_27",-2.45608151947807,-5.78814216548218
"BC07_30",2.50521833101023,-8.26891179628912
"BC07_31",-2.21647309243698,-5.59254035332975
"BC07_35",-3.12532585004107,-3.99176770393026
"BC07_36",-3.48576943091417,-4.94615198707959
"BC07_38",-1.92480237269059,-5.3182511414498
"BC07_39",-2.78908581991898,-4.53032168084883
"BC07_42",1.88010066302178,-2.88925084246854
"BC07_43",-3.17589466375279,-4.94028044038939
