Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-GD-A76B-01A-11R-A32O-07	0.0139289944340234	0	0.165943724707296	0.142269866463262	0	0.0402459277761235	0.077053509294731	0.0444107012982683	0.134563619906581	0	0	0.0479319562980882	0	0.0187189295813705	0.118860908838613	0.0982790005504638	0.0721809985927723	0	0.0186943564088995	0	0.00217299514935581	0.00474451070015237	0.01	0.236174781202353	0.986976312020541
TCGA-BT-A20Q-01A-11R-A14Y-07	0.0147076771027033	0	0.230131324479755	0.0605767722915598	0	0.157365208142923	0.0332897385602754	0.0532173806516009	0.0254205227462856	0.0352169741663273	0	0.0375838531427474	0.00419474870663029	0.000468336707905626	0.0812138243822575	0.127121964903239	0.0624285163742895	0.0265734253172398	0.05048973232426	0	0	0	0.01	0.243585877084724	0.977827395689791
TCGA-FD-A6TI-01A-11R-A32O-07	0.000539101050906772	0	0.0264131099713054	0.0828075395229618	0	0.372297019798995	0	0.0702470163671346	0	0	0	0.0794953643380132	0.0210584941313711	0	0.0347947213964637	0.181355814205221	0.00745497441564914	0.075173317533418	0.00063724153343262	0.047726285735127	0	0	0.63	0.00453191458579881	1.10643298222738
TCGA-FD-A43X-01A-11R-A23W-07	0	0	0.00257601255871953	0.0596137948566391	0	0.210120886497131	0	0.0632817186713	0.0613857389384094	0	0.0984352071614581	0	0.0263322342270711	0.163033347788491	0.00970391215118661	0.209800448283109	0	0.0107337999944477	0.0849828988720379	0	0	0	0.76	-0.00913534488384492	1.09853008021189
TCGA-4Z-AA86-01A-11R-A39I-07	0.0014866144009421	0	0.0283851773154337	0.118471831033496	0	0.15057110708567	0.0790544820573332	0	0.00672898186441357	0	0.0848625115325952	0	0	0.243196382024517	0.0848787870666178	0.120215872509656	0	0	0	0.0819842149228752	0	0.00016403818645096	0	0.451985176772051	0.891680146369126
TCGA-DK-AA75-01A-11R-A39I-07	0.0603559929919355	0	0.116436561527048	0.132821260323582	0	0	0	0.151526925719093	0.0475987034051084	0	0	0.0638743447491817	0.0229100761823348	0.160901556919776	0.0262638533697549	0	0.00996382527600198	0.0449479184489964	0.160128843177078	0	0	0.00227013791010825	0.83	-0.016132210852297	1.08069021710149
TCGA-XF-AAN8-01A-11R-A42T-07	0.029879446130374	0	0.0105994035420618	0.039526888094772	0	0.111212224859413	0.0451699175598882	0	0.0188390167606643	0	0	0.00461501930123909	0.0299703708384959	0	0.0237522910632136	0.417261431786857	0.000318078180492688	0	0.13371371601261	0	0	0.13514219586992	0	0.367137969633611	0.934451080697391
TCGA-DK-AA6P-01A-11R-A39I-07	0	0.00886274813401681	0	0.0331692357967001	0	0.19443194706561	0	0.0716205759538185	0.0977199341051445	0	0	0.129137311164679	0.0235259247246295	0.149887853031083	3.59890760941517e-05	0.081892438980728	0.0189028352160859	0.0316005259769336	0.159212680774477	0	0	0	0.57	0.0092701510505134	1.09520698523294
TCGA-E7-A6MD-01A-41R-A352-07	0.0840357697983475	0.0288940261109031	0.015180198096686	0.112608404166712	0	0.312711339056431	0	0.017540184315886	0.102215688651891	0	0	0.0174635980107747	0.0145654175440135	0.0500528019543643	0.0459389847384496	0.104116476778838	0.0386527560683826	0.00706505692324149	0.0489592977850793	0	0	0	0.01	0.234784142343987	0.994155638888853
TCGA-G2-AA3B-01A-11R-A39I-07	0.0610920351885836	0	0.148089935846791	0.145098540526452	0	0	0.171240743230395	0.0942461719081069	0.0756614609798046	0	0.0758039679305722	0	0	0.00374525832152457	0.057796633830451	0.0658067975475427	0.0199874570197696	0.0679252116688958	0	0.0135057860011116	0	0	0.13	0.105717460210413	1.03907843233938
TCGA-DK-A1AB-01A-11R-A13Y-07	0	0	0.0136189737379396	0	0	0.21818654681383	0.00647331483656407	0.0165865059401538	0.0132946609157176	0	0	0.0448081977815342	0	0.213073231200354	0.202090877704382	0.0878547184430592	0.0503111748466168	0.0249863671236129	0.106030451830686	0	0	0.00268497882554935	0	0.45455012832834	0.892545823081117
TCGA-XF-A9SZ-01A-11R-A39I-07	0	0.00507155571015993	0.0102881554965704	0.0182887783234061	0	0.048281858971717	0	0.0137607944610739	0.0340561638596416	0	0.0144755713579227	0	0	0.562539451173767	0	0.241572977306248	0	0	0	0.0103000514408965	0	0.0413646418985968	0.2	0.0806339536391166	1.17751033580144
TCGA-4Z-AA89-01A-11R-A39I-07	0.00384483518703881	0	0.0504336876739021	0.0776225153116228	0	0.171821963750472	0	0.208245143166974	0.019655708555625	0	0	0.0980944466543019	0.0120815907435543	0	0.180859613809335	0.0821620055610124	0.0345788840941613	0.0435308946161201	0	0	0.0170687108758805	0	0.6	0.00745554000730789	1.12887843971408
TCGA-GV-A3QG-01A-11R-A220-07	0.168744399097766	0	0.0225099126587059	0.113947856449176	0	0.0755222069330813	0.0225118503549879	0.0262940398910549	0.061374930015251	0.0232407860669324	0	0.0279623176020218	0	0.230391660269616	0.103191571145485	0.092207029050161	0	0	0.0321014404657605	0	0	0	0	0.608877221155568	0.807764286646817
TCGA-HQ-A5ND-01A-11R-A26T-07	0	0	0.00457584713489866	0.10657843612795	0	0.137075976179306	0.111986714365333	0	0	0	0.0643478493594837	0.0667880762394171	0.0179958279879219	0.0608694850801195	0.289095481333235	0.0447134525906838	0	0.0136098046230824	0.0823630489785691	0	0	0	0.04	0.176791903923611	1.08175761665328
