"gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster"
"PBX1",1.0868939994623e-26,-0.93685082546678,0.074,0.82,1.14102132063552e-22,"0"
"SMIM22",1.22795371201266e-26,-1.1333634077813,0.111,0.83,1.28910580687089e-22,"0"
"BIN2",1.2941062318676e-26,0.860416851078431,0.506,0.044,1.3585527222146e-22,"0"
"BTG1",1.35436997989138e-26,0.579732817049916,0.963,0.806,1.42181760488997e-22,"0"
"ELF3",1.3914020214898e-26,-1.00062701934836,0.185,0.901,1.46069384215999e-22,"0"
"INPP5D",1.52067546460304e-26,0.867192924128613,0.506,0.048,1.59640510274027e-22,"0"
"DNAJA1",1.59902716442798e-26,0.433474583621926,0.988,0.973,1.67865871721649e-22,"0"
"PAG1",1.85835330264313e-26,0.866005616866016,0.593,0.092,1.95089929711476e-22,"0"
"ERBB3",1.93759038478807e-26,-0.933539600601334,0.074,0.799,2.03408238595051e-22,"0"
"DSP",2.31526634535514e-26,-0.914545063094013,0.185,0.867,2.43056660935382e-22,"0"
"VIM",3.1060151054703e-26,0.987330999284832,0.877,0.357,3.26069465772272e-22,"0"
"IL10RA",3.72464027420113e-26,0.828684184373714,0.494,0.041,3.91012735985635e-22,"0"
"MEX3D",3.8237770243495e-26,-0.678787177620236,0.123,0.854,4.01420112016211e-22,"0"
"RPL21P16",4.73049456252649e-26,0.323767176727397,0.988,0.997,4.96607319174031e-22,"0"
"SP140",4.75763608142376e-26,0.954661673177206,0.531,0.061,4.99456635827866e-22,"0"
"EFNA1",5.09432409097931e-26,-1.00330587793028,0.185,0.864,5.34802143071008e-22,"0"
"TNFRSF1B",5.73715248112576e-26,0.733962805407623,0.506,0.048,6.02286267468583e-22,"0"
"CD86",9.91867103692205e-26,1.02554700013858,0.444,0.027,1.04126208545608e-21,"0"
"APOBEC3G",1.02971797498628e-25,1.06589499050643,0.617,0.116,1.0809979301406e-21,"0"
"FKBP9",1.68640002958236e-25,-0.97707554376081,0.099,0.816,1.77038275105556e-21,"0"
"CD84",3.01958598734871e-25,0.724108280911387,0.383,0.01,3.16996136951868e-21,"0"
"SAMD9L",3.07525574537803e-25,1.076596328096,0.679,0.167,3.22840348149785e-21,"0"
"EIF1",3.16615887111862e-25,0.343038384572851,1,0.997,3.32383358290032e-21,"0"
"XAF1",3.54399557234476e-25,0.998710763151247,0.815,0.276,3.72048655184753e-21,"0"
"RNASE6",3.56202151529654e-25,1.0356209052272,0.432,0.027,3.73941018675831e-21,"0"
"EPSTI1",3.6306743568388e-25,0.920164168289597,0.63,0.126,3.81148193980937e-21,"0"
"KIAA1217",4.14887200790649e-25,-0.859015261298973,0.173,0.888,4.35548583390023e-21,"0"
"UBB",5.26184169168743e-25,0.331039023767038,1,1,5.52388140793347e-21,"0"
"CDH1",5.56359038325421e-25,-0.870525465342723,0.136,0.861,5.84065718434027e-21,"0"
"ATP5MG",6.22864589288275e-25,0.323985803169829,0.988,0.986,6.53883245834831e-21,"0"
"NR3C1",8.75264895503582e-25,0.950872020527507,0.802,0.286,9.1885308729966e-21,"0"
"KRT19",1.184185005415e-24,-0.857386369763768,0.37,0.963,1.24315741868467e-20,"0"
"INSR",1.47247493295594e-24,-0.811620830111797,0.123,0.837,1.54580418461715e-20,"0"
"CDC42",1.58353141792316e-24,0.389539189636987,1,0.952,1.66239128253573e-20,"0"
"OCLN",1.64333885708953e-24,-0.879360892509984,0.111,0.827,1.72517713217259e-20,"0"
"PTMA",1.74699801702837e-24,0.298642530841932,1,1,1.83399851827638e-20,"0"
"HLA-DPB2",2.07239768636933e-24,0.529212504698988,0.506,0.054,2.17560309115052e-20,"0"
"MS4A6A",2.17358931905408e-24,1.23683121164669,0.494,0.058,2.28183406714298e-20,"0"
"RPS20",2.98454959019015e-24,0.326485942548678,1,0.983,3.13318015978162e-20,"0"
"PARVG",3.37472821579805e-24,0.73797220850145,0.457,0.037,3.54278968094479e-20,"0"
"LST1",3.43138666927476e-24,1.09956133314518,0.494,0.058,3.60226972540465e-20,"0"
"TPT1",4.01484650564482e-24,0.308591277813334,1,1,4.21478586162594e-20,"0"
"CYB561",4.13110122223564e-24,-0.813925474287732,0.037,0.755,4.33683006310297e-20,"0"
"CYTIP",4.69826967469012e-24,1.10187405448141,0.642,0.16,4.93224350448968e-20,"0"
"CD38",4.8875428522396e-24,0.895098272903548,0.432,0.031,5.13094248628114e-20,"0"
"FERMT3",4.95464554085083e-24,0.998812333676887,0.605,0.119,5.2013868887852e-20,"0"
"IL7R",5.54835285568085e-24,0.887467757441401,0.432,0.031,5.82466082789375e-20,"0"
"MLPH",5.9439868625494e-24,-0.987385959998269,0.099,0.789,6.23999740830436e-20,"0"
"RPL36AL",6.02999936997476e-24,0.364351521333138,0.988,0.969,6.3302933385995e-20,"0"
"H3-3B",6.14340678463744e-24,0.323249947676484,1,0.99,6.44934844251239e-20,"0"
"TM4SF1",7.00214213855686e-24,-1.0746373403557,0.235,0.827,7.35084881705699e-20,"0"
"MGST1",8.15992957799258e-24,-0.880204553552737,0.321,0.912,8.56629407097661e-20,"0"
"NCKAP1",1.00312967980234e-23,-0.872917310339382,0.074,0.759,1.05308553785649e-19,"0"
"ADIRF",1.05807978776497e-23,-1.00020043852917,0.074,0.793,1.11077216119567e-19,"0"
"HLA-C",1.09144467227932e-23,0.503664704198245,0.975,0.925,1.14579861695883e-19,"0"
"PTPN7",1.12696874362032e-23,0.955084920563516,0.519,0.071,1.18309178705261e-19,"0"
"FTL",1.18665291000809e-23,0.373642308772965,1,1,1.2457482249265e-19,"0"
