"","UMAP_1","UMAP_2"
"BC05_42",-9.80628513620824,-9.74042402795788
"BC05_43",-9.41185402201146,-9.81441318086621
"BC05_44",-12.3031313352439,-9.2278038173103
"BC05_45",-8.77664160059423,-8.75205861619946
"BC05_46",-10.1809432439658,-10.0299400000953
"BC05_47",-9.35379051493139,-9.39922725252148
"BC05_48",-11.3994209699485,-8.92551337770459
"BC05_49",-9.2852690152976,-8.86142550996777
"BC05_50",-8.87854885385961,-8.49963294557568
"BC05_52",-9.33178257273168,-7.82696794561383
"BC05_53",-11.3968923024985,-9.79575811914441
"BC05_55",-12.333212130532,-8.93495904497143
"BC05_57",-11.7550456456992,-8.89919601968762
"BC05_59",-11.4260103635642,-9.52373944810864
"BC05_60",-9.66820978449315,-8.49841224245068
"BC05_61",-9.60365700052709,-9.59597622446057
"BC05_62",-11.2955701284263,-9.18414365343091
"BC05_63",-10.8403789930198,-9.68073855928418
"BC05_64",-11.2858993940207,-9.92736898950574
"BC05_68",-11.6895110540244,-8.85813104204175
"BC05_69",-8.98687719629735,-9.24144159845349
"BC05_70",-11.2314855985496,-9.20722018770215
"BC05_71",-9.3152229719016,-7.36662506155011
"BC05_72",-10.9269277982566,-9.94636141351697
"BC05_73",-9.06947302149267,-8.14146100572583
"BC05_75",-9.45435928629369,-7.85367905191418
"BC05_77",-8.69801210688085,-8.09836207918164
"BC05_78",-10.6008346013877,-9.75412332109448
"BC05_79",-9.27094244287938,-8.17561112932202
"BC05_80",-9.47029184626073,-8.67579804948804
"BC05_81",-8.97759269998998,-8.00091086915967
"BC05_83",-9.58412718103856,-9.48846804193493
"BC05_84",-9.40181516931981,-7.40233444265362
"BC05_85",-10.3304011754844,-8.36675511888501
"BC05_86",-9.09132789896459,-9.67218243173596
"BC05_87",-9.22221779154271,-9.29740249208447
"BC05_88",-11.0750806264731,-9.8009444384956
"BC05_90",-9.65162681864232,-7.93171893648144
"BC05_91",-9.50287317560644,-7.71118783048627
"BC05_92",-9.23208212183446,-8.6670492797279
"BC05_93",-9.26019310282201,-7.59198903135296
"BC05_94",-10.1563637189719,-10.0097502379799
"BC05_95",-9.680904620156,-9.53730665735242
"BC05_96",-9.73460649774999,-7.85268961481091
"BC06_10",3.36174655629664,-2.26240574411389
"BC06_23",3.49593949986964,-1.91183029703137
"BC06_27",3.20744586659937,-2.49708019784924
"BC06_28",3.28525138570338,-2.1486281066322
"BC06_32",3.1421802110818,-2.25764023355481
"BC06_39",3.45264840795069,-2.38148294977185
"BC06_43",-6.89337848947973,13.4668895096398
