"","tSNE_1","tSNE_2"
"BC04_21",-0.24883568758002,6.58269379834511
"BC04_22",0.0317697098072003,13.4560959320835
"BC04_23",2.29780059325611,9.78888770010921
"BC04_24",2.66293552467676,10.4725313940151
"BC04_27",2.7973276225162,10.2216914218835
"BC04_28",0.409491706344823,13.3210432293796
"BC04_29",3.2250892881995,10.3643443204453
"BC04_30",-0.389230039586899,13.8662567689969
"BC04_31",1.94162587635393,10.5819585166496
"BC04_32",2.00760539333376,10.0804586820959
"BC04_33",3.19863396118005,10.9943558908061
"BC04_36",1.61291514218051,10.7129829107133
"BC04_37",2.83075605164532,9.69890499311692
"BC04_40",1.26528210401699,12.2812445746684
"BC04_41",2.25708084081422,12.8861592969041
"BC04_45",2.51734648711724,13.0508301061383
"BC04_49",2.4709524871682,10.4726011492818
"BC04_54",0.787717686009629,12.6141289898642
"BC04_56",2.11430392632544,13.0833775758129
"BC04_59",0.943484451805707,12.2878442086111
"BC04_60",2.47781828902611,9.62779531580663
"BC04_61",0.266379791717788,13.6010940784248
"BC04_62",-1.20864420685923,11.869290092352
"BC04_63",1.36296375483962,11.2279961699569
"BC04_64",3.00052196471765,10.3477471390457
"BC04_66",0.612379717098661,7.88047787245972
"BC04_69",1.44227285791517,11.8503315131024
"BC04_71",1.15940411498963,8.81638917221823
"BC04_77",-0.245955508476336,6.52709631326987
"BC04_78",3.14872058293223,9.63807278832099
"BC04_85",1.87089261862607,10.0170339017613
"BC04_86",1.68285050878997,10.5160665182307
"BC04_88",0.758511057818124,12.1630873117077
"BC04_90",2.09288185514873,10.9217763928815
"BC04_91",0.700378139504956,12.9458084182906
"BC04_92",-0.683814767678944,11.8341001335672
"BC04_93",2.41985352659568,9.95517080446642
"BC05_01",10.911361746016,-6.74795087184044
"BC05_02",15.8552852835968,-1.88968510120546
"BC05_04",11.7792851473368,-6.37824655379887
"BC05_07",18.5968786092815,-0.537987762466445
"BC05_08",15.3126614303048,-1.02623002228326
"BC05_09",14.2930367665526,-1.83795529003923
"BC05_12",16.1856631830679,-2.46121887104215
"BC05_13",12.4605336584688,-3.44394719489623
"BC05_16",14.4312824353654,-2.44440449908089
"BC05_17",12.6552614119572,-6.97084675854213
"BC05_18",14.1285409539837,-6.57096709644485
"BC05_20",13.1564783348405,-3.52129420730512
"BC05_21",15.4521822337687,-0.70384682785316
"BC05_22",11.3474723112778,-6.96857738511176
"BC05_23",14.8933459707039,-0.28176263904599
"BC05_25",11.6801216184169,-7.20248609956947
"BC05_26",18.2634128678669,-0.710228884372922
"BC05_27",11.3371826700863,-6.27645965995707
"BC05_28",16.0945125452548,-0.188560718093503
"BC05_29",17.5234055081385,-2.28457877760461
"BC05_30",17.6737844158944,0.037047362503071
"BC05_31",13.8045494499989,-0.50214463140471
"BC05_32",17.0020872315005,-1.00432147078329
"BC05_33",13.5398591042972,-2.54402496850506
"BC05_34",11.8466114157826,-5.31552317785441
"BC05_35",11.1267136991705,-7.25146909790814
"BC05_36",15.2570453194251,-2.26616019391764
"BC05_37",11.8360883411846,-5.70675266171644
"BC05_38",13.0716867101483,-2.76687665415221
"BC05_39",14.1338824068658,-5.70391169010459
"BC05_41",15.9354318768081,-1.39462660377414
"BC05_42",13.4842528844714,-2.20285142941483
"BC05_43",14.2682720551314,-2.63778465669234
"BC05_44",10.9748803667848,-6.86784436861066
"BC05_45",15.775769786996,-1.81198267282781
"BC05_46",13.3247897111997,-2.90904003809237
"BC05_47",14.5866259624666,-1.69282837071564
"BC05_48",13.2314704500477,-5.89451850859381
"BC05_49",14.9652916400361,-0.763750980325569
"BC05_50",16.1141310130401,-1.19068896920741
"BC05_52",16.8418454132087,-0.378600798717687
"BC05_53",12.1622149121231,-4.58893962544625
"BC05_55",11.1335440080538,-6.89352362776545
"BC05_57",12.9235775654402,-6.55369439763157
"BC05_59",12.4691246985005,-5.04886640819842
"BC05_60",15.4781106889045,-1.34762469121971
"BC05_61",14.1243697203145,-2.02969632853078
"BC05_62",12.9399614873017,-5.36767859154728
"BC05_63",12.8752185628184,-4.16258333017864
"BC05_64",12.0494515497464,-4.46549537448174
"BC05_68",13.113110155069,-6.64512063644827
"BC05_69",15.2267399407451,-3.19630692746394
"BC05_70",12.9738558195873,-5.39467864410318
"BC05_71",18.6138672516156,-0.234879461255697
"BC05_72",12.5421535021074,-3.85893485176467
"BC05_73",17.2727985188112,-2.48713509213342
"BC05_75",17.5013777474835,0.240164132858452
"BC05_77",17.8684924574561,-1.89505784781848
"BC05_78",11.9835686987724,-3.49379365068754
"BC05_79",16.3312371733709,-0.780755117712548
"BC05_80",15.211108537372,-1.29002914300361
"BC05_81",17.0269584361468,-1.33443462867953
"BC05_83",14.0663135418863,-1.58724810395799
"BC05_84",17.7962221381706,0.177094254496763
"BC05_85",15.0904939752506,-4.65162530044097
"BC05_86",12.8023030578398,-0.915604006531139
"BC05_87",14.8956178842293,-2.18513589718858
"BC05_88",12.194604243957,-4.27741031405843
"BC05_90",16.5901808492904,0.0357360547355496
"BC05_91",17.4387847614417,-0.529456444810282
"BC05_92",16.1036476423338,-2.36393472025097
"BC05_93",19.0939062357142,-0.349507469103432
"BC05_94",13.1889015380371,-3.01459951011006
"BC05_95",13.633808182392,-2.0427645854738
"BC05_96",16.7348156540973,0.8848994057048
"BC06_10",-7.18079888312262,2.87621512036433
"BC06_23",-6.80712918429845,1.84725135431228
"BC06_27",-7.8782676750295,2.6398579350065
"BC06_28",-7.21143273541891,2.45562382872415
"BC06_32",-7.20117919771689,2.05134971237951
"BC06_39",-7.37201337381968,2.61016477512675
"BC06_43",-11.8770308244361,-5.47723307501016
"BC06_60",-7.13065172374189,2.25930680302385
"BC06_74",-7.19228429046726,2.23854757511698
"BC07_01",1.4493179971888,2.24023885781154
"BC07_06",-1.04682898067411,2.33822194647507
"BC07_07",-7.25689899734338,9.55889910096388
"BC07_08",-0.268498194014505,3.90883565018496
"BC07_12",-0.995598898842055,1.74359808011287
"BC07_18",-0.630688205024005,1.616508622671
"BC07_20",-1.71087387838167,0.648279100887964
"BC07_23",-10.8338544201557,-5.07813675037889
"BC07_24",-1.57978133880902,1.35395713702319
"BC07_27",0.0317484158828188,3.20751346519227
"BC07_31",0.469937207740903,3.79177342066619
"BC07_35",-0.82290474782856,1.17216291271425
"BC07_36",-0.261973229441775,1.64413602019217
"BC07_38",0.41439047612861,3.74923126160498
"BC07_39",-0.690270872804104,1.63087738738464
"BC07_42",-9.54932496891541,11.2289905313413
"BC07_43",-0.680858503533901,1.8456172034835
"BC07_44",-1.9353299562622,2.23438016999393
"BC07_52",-9.59088402583423,11.4402979738999
"BC07_55",-7.4651437244243,9.67289928882195
"BC07_57",-0.264476715877632,4.12863188158229
"BC07_58",-6.51122137222072,9.47237977172064
"BC07_59",-0.597026122401581,3.64656526974827
"BC07_61",0.0253052920649993,5.06011185662459
"BC07_65",-0.84894997254296,1.07000518733793
"BC07_66",0.978775922293824,2.76823007843335
