gene_name,Model1_count,Model2_count,Model3_count,Positive1_count,Positive2_count,Positive3_count
Gm5444,0,0,0,0,1,0
RP23-111G16.8,4,1,4,2,3,0
Atn1,2,2,4,5,3,4
RP23-45G16.11,0,0,2,13,7,10
Zfp862-ps,179,90,124,84,78,61
RP24-571G22.1,0,0,0,0,0,0
RP23-333I12.1,34,35,30,40,25,31
Phactr1,14,1,5,4,13,9
Vmac,134,57,94,41,57,27
Lrrc8c,1005,389,509,240,251,192
1700013H16Rik,0,0,0,0,0,0
Gm21719,0,0,0,0,0,0
Erap1,3024,2773,2729,1478,1364,1160
Olfr701,0,0,0,0,0,0
Ttll7,33,59,17,45,56,34
Gm10715,0,0,0,0,0,0
Psma8,75,61,91,25,56,19
Otud7a,0,0,0,0,1,0
Cuedc2,902,687,1347,534,742,449
Pramel5,0,0,0,0,0,0
Olfr510,0,0,0,0,0,0
Pcsk1,0,0,0,0,0,0
Gm37934,0,0,0,0,0,0
l7Rn6,291,209,289,120,144,114
Zfp599,154,102,171,83,56,55
Olfr1158,0,0,0,0,0,0
Gm382,0,0,0,0,0,0
Arf2,574,411,509,285,386,296
Olfr304,0,0,0,0,0,0
Rab3d,421,434,709,695,891,608
Cdcp1,7,8,8,12,14,3
Gm17084,124,121,38,168,183,48
3830432H09Rik,1,0,2,1,0,0
Gm7808,1,0,1,0,0,0
Gm29189,0,0,0,0,0,0
4933400C23Rik,0,0,0,0,0,0
Gm28849,0,0,0,0,0,0
Gm29006,0,0,0,0,0,0
Gm5733,1,0,2,2,1,0
Vmn2r82,0,0,0,0,0,0
Ppp4r1l-ps,423,383,396,466,381,243
Oosp2,5,7,0,2,6,0
RP24-137B5.2,0,0,0,0,0,0
RP23-74G1.5,2,0,1,0,3,2
RP23-114E15.17,0,0,0,0,0,0
Cldn34b3,0,0,0,0,0,0
RP23-447L9.2,0,0,0,0,0,0
Vmn1r218,0,0,0,0,0,0
Rpl10l,0,0,0,0,0,0
Gm26510,123,73,63,109,69,50
Gm26511,1,0,0,0,0,0
Gm3764,0,0,0,0,0,0
Gm26512,98,209,193,105,149,129
Gm26513,35,25,45,39,42,13
Gm26514,249,296,240,318,310,258
Gm26515,1,2,2,2,0,0
Gm26516,0,0,0,0,0,0
Gm26517,2,0,3,3,0,0
Mtmr2,1158,969,1096,634,681,528
Tmed6,2,1,0,0,0,0
Cog8,432,263,477,269,408,300
Nip7,689,631,569,461,489,380
Has3,0,3,1,1,0,0
Vps4a,534,304,620,238,425,208
Gm5105,0,0,0,0,0,0
Lrrc56,127,79,103,84,119,78
Degs1,1503,1472,1099,1930,1833,1940
Zkscan16,0,0,0,0,0,0
Pzp,0,0,0,0,0,0
Fkbp4,1387,1203,2345,433,864,323
Tspan11,0,2,0,0,5,0
Prmt8,0,0,0,1,0,0
Tead4,7,4,6,5,12,4
Tspan9,89,41,45,40,30,16
Gm43661,13,3,9,17,17,7
Gm43473,0,0,0,0,0,0
Gm42979,146,159,148,252,205,176
Trav5-2,0,0,0,0,0,0
Gm43644,0,0,0,0,0,0
Pnldc1,10,7,8,5,8,9
Sft2d1,475,620,522,571,747,487
Ucn2,0,6,1,3,1,2
BC048671,0,0,0,0,0,0
Nckap5,29,17,23,49,20,21
Nkx3-2,0,0,0,0,0,0
Tmem239,0,0,0,0,0,0
Fbxo33,831,838,847,659,995,598
Sec31a,2089,1412,2583,1194,1312,1050
Gm13251,432,511,351,398,426,318
Neb,153,437,186,365,79,116
Txnrd2,216,108,255,81,107,48
Dio3,0,0,0,0,0,0
Gpx4,598,640,622,444,511,384
Vimp,745,914,1098,456,504,359
Ogfod2,82,55,68,53,42,51
Uap1l1,454,450,557,394,526,302
Selm,74,64,104,34,31,26
Dpp7,169,164,196,109,78,77
Grin1,2,0,0,0,0,0
St8sia3,0,2,0,0,0,0
Fam89a,2,3,1,0,0,0
Gm6812,0,0,0,0,0,0
Tmem18,557,516,693,333,393,361
Fscb,0,0,0,0,0,0
Spice1,286,174,251,140,180,95
Dpy19l1,2156,1643,1973,966,1240,888
Vmn1r66,0,0,0,0,0,0
Laptm4b,206,178,206,68,98,53
Mtdh,3392,4510,3117,3234,4540,3907
