,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000008735,302,58,443,47
ENSG00000008838,1493,1249,1662,1822
ENSG00000008853,385,895,157,256
ENSG00000008869,444,277,250,627
ENSG00000008952,4094,2270,3179,10692
ENSG00000008988,9873,14513,88691,24416
ENSG00000009307,8412,4824,7471,16295
ENSG00000009335,2674,1727,1174,2561
ENSG00000009413,310,226,219,429
ENSG00000009694,313,6,88,146
ENSG00000009709,0,0,0,0
ENSG00000009724,2733,12543,11275,16360
ENSG00000009765,818,395,764,2410
ENSG00000009780,161,116,248,211
ENSG00000009790,25,85,115,71
ENSG00000009830,315,174,355,359
ENSG00000009844,608,744,657,1690
ENSG00000009950,12182,6694,13378,6104
ENSG00000009954,2043,1109,1372,1975
ENSG00000010017,652,791,909,1004
ENSG00000010030,58,283,192,25
ENSG00000010072,165,281,122,172
ENSG00000010165,726,1074,1053,1380
ENSG00000010219,115,134,385,345
ENSG00000010244,1488,1440,1866,1780
ENSG00000010256,5795,4920,9134,16399
ENSG00000010270,268,293,113,394
ENSG00000010278,1044,606,3401,1635
ENSG00000010282,2,0,2,1
ENSG00000010292,360,417,666,454
ENSG00000010295,366,500,571,390
ENSG00000010310,24,5,4,3
ENSG00000010318,83,54,210,193
ENSG00000010319,94,137,148,129
ENSG00000010322,1433,1459,1068,1275
ENSG00000010327,1106,1409,2002,4191
ENSG00000010361,104,103,181,523
ENSG00000010379,106,59,81,502
ENSG00000010404,881,644,643,1841
ENSG00000010438,275,160,957,178
ENSG00000010539,187,182,178,136
ENSG00000010610,491,975,2438,9856
ENSG00000010626,88,85,114,105
ENSG00000010671,22,53,108,126
ENSG00000010704,1273,869,277,652
ENSG00000010803,288,320,254,303
ENSG00000010810,750,404,1067,1513
ENSG00000010818,501,246,241,331
ENSG00000010932,9,142,225,18
ENSG00000011007,953,681,1511,2466
ENSG00000011009,2145,1583,3356,3144
ENSG00000011021,327,193,218,588
ENSG00000011028,105,381,519,575
ENSG00000011052,13,13,20,20
ENSG00000011083,0,0,1,2
ENSG00000011105,2126,2150,2928,6608
ENSG00000011114,254,294,258,583
ENSG00000011132,377,597,657,497
ENSG00000011143,112,161,309,213
ENSG00000011198,537,206,548,473
ENSG00000011201,17,20,17,7
ENSG00000011243,513,796,1738,532
ENSG00000011258,287,256,423,525
ENSG00000011260,341,350,946,777
ENSG00000011275,799,765,880,1308
ENSG00000011295,444,345,469,1399
ENSG00000011304,5103,4736,4672,5157
ENSG00000011332,3,2,5,0
ENSG00000011347,5841,839,3411,6480
ENSG00000011376,498,471,336,996
ENSG00000011405,951,478,340,1137
ENSG00000011422,86,50,137,321
ENSG00000011426,147,202,187,8
ENSG00000011451,1065,1266,1539,1013
ENSG00000011454,519,469,488,780
ENSG00000011465,871,3152,2683,12692
ENSG00000011478,324,402,978,424
ENSG00000011485,888,1007,1283,1749
ENSG00000011523,243,202,290,379
ENSG00000011566,316,420,446,674
ENSG00000011590,4,7,10,0
ENSG00000011600,280,707,1666,1651
ENSG00000011638,23,58,99,131
ENSG00000011677,3,1,0,0
ENSG00000012048,64,77,264,91
ENSG00000012061,981,979,1635,1263
ENSG00000012124,11,107,75,19
ENSG00000012171,69,48,4977,95
ENSG00000012174,1108,496,360,1462
ENSG00000012211,129,90,102,130
ENSG00000012223,12,37,30,40
ENSG00000012232,590,571,497,1817
ENSG00000012504,2123,1732,1950,3758
ENSG00000012660,2913,2062,1971,4431
ENSG00000012779,34,115,67,229
ENSG00000012817,0,0,453,768
ENSG00000012822,990,928,885,1416
ENSG00000012963,463,518,723,849
ENSG00000012983,312,278,263,422
ENSG00000013016,80,266,167,1036
ENSG00000013275,2263,2435,3081,2376
ENSG00000013288,6066,1805,588,3750
ENSG00000013293,5,15,0,5
ENSG00000013297,18,115,66,48
ENSG00000013306,3927,4477,8147,4707
ENSG00000013364,7769,5768,4847,3163
ENSG00000013374,1928,1781,1516,1939
ENSG00000013375,1096,465,513,1495
ENSG00000013392,108,84,154,269
ENSG00000013441,984,797,1243,1092
ENSG00000013503,485,281,304,918
ENSG00000013523,306,680,344,1436
ENSG00000013561,1833,612,946,2328
ENSG00000013563,178,237,103,390
ENSG00000013573,182,159,385,266
ENSG00000013583,1236,1699,3816,4263
ENSG00000013588,4,2,6,24
ENSG00000013619,132,53,133,153
ENSG00000013725,37,127,178,83
ENSG00000013810,198,365,847,187
ENSG00000014123,977,273,497,1662
ENSG00000014138,205,232,637,249
ENSG00000014164,702,893,992,468
ENSG00000014216,5103,2217,2900,5140
